stock;year;sex;age;rate
comorb;2016;2;51;163.462056299302
comorb;2016;2;52;152.547080697133
comorb;2016;2;53;142.805796382551
comorb;2016;2;54;133.952078296612
comorb;2016;2;55;125.746950091001
comorb;2016;2;56;118.002587139091
comorb;2016;2;57;110.583383103716
comorb;2016;2;58;103.403787152139
comorb;2016;2;59;96.4228175734908
comorb;2016;2;60;89.6356338168193
comorb;2016;2;61;83.0630967018099
comorb;2016;2;62;76.7406428271706
comorb;2016;2;63;70.7078926925519
comorb;2016;2;64;65.0001776459891
comorb;2016;2;65;59.6427043547556
comorb;2016;2;66;54.6475372604771
comorb;2016;2;67;50.0131206622817
comorb;2016;2;68;45.7257722735003
comorb;2016;2;69;41.7624732104513
comorb;2016;2;70;38.0943127727508
comorb;2016;2;71;34.6900547572656
comorb;2016;2;72;31.5194177686347
comorb;2016;2;73;28.5557720921017
comorb;2016;2;74;25.7780443684403
comorb;2016;2;75;23.1717014953126
comorb;2016;2;76;20.7287746985655
comorb;2016;2;77;18.4469925263906
comorb;2016;2;78;16.3282093138768
comorb;2016;2;79;14.3764186151899
comorb;2016;2;80;12.5956980018711
comorb;2016;2;81;10.988420024675
comorb;2016;2;82;9.5539826572124
comorb;2016;2;83;8.28818352489924
comorb;2016;2;84;7.18322305017239
comorb;2016;2;85;6.22820952761957
comorb;2016;2;86;5.40997750611888
comorb;2016;2;87;4.71402355292098
comorb;2016;2;88;4.12539795410291
comorb;2016;2;89;3.62944675515807
comorb;2016;2;90;3.21235629319166
comorb;2016;2;91;2.86149894302246
comorb;2016;2;92;2.56560878062723
comorb;2016;2;93;2.3148298139611
comorb;2016;2;94;2.1006810926619
comorb;2016;2;95;1.91597691757096
comorb;2016;2;96;1.75473042527057
comorb;2016;2;97;1.61205782650038
comorb;2016;2;98;1.48409039733449
comorb;2016;2;99;1.36789324848705
comorb;2016;2;100;1.26138490087318
comorb;2017;1;0;1208.15386465302
comorb;2017;1;1;1484.03900365059
comorb;2017;1;2;1817.75460848107
comorb;2017;1;3;2210.7718715532
comorb;2017;1;4;2655.30509792471
comorb;2017;1;5;3130.77676666069
comorb;2017;1;6;3602.23143586578
comorb;2017;1;7;4022.66798543141
comorb;2017;1;8;4340.39836211646
comorb;2017;1;9;4510.43174406799
comorb;2017;1;10;4506.39615090974
comorb;2017;1;11;4328.28803778745
comorb;2017;1;12;4002.61455008408
comorb;2017;1;13;3574.84237525594
comorb;2017;1;14;3097.47817308467
comorb;2017;1;15;2618.51339664081
comorb;2017;1;16;2173.8457599558
comorb;2017;1;17;1784.80790373098
comorb;2017;1;18;1459.75376704623
comorb;2017;1;19;1197.70891849422
comorb;2017;1;20;607.965455228644
comorb;2017;1;21;502.148502960371
comorb;2017;1;22;423.190236985433
comorb;2017;1;23;365.183059329001
comorb;2017;1;24;323.375092747493
comorb;2017;1;25;294.09241761711
comorb;2017;1;26;274.55451226226
comorb;2017;1;27;262.662267245634
comorb;2017;1;28;256.796792427208
comorb;2017;1;29;255.644345943152
comorb;2017;1;30;258.053196883961
comorb;2017;1;31;262.926634545068
comorb;2017;1;32;269.157809085053
comorb;2017;1;33;275.612505803787
comorb;2017;1;34;281.162275373652
comorb;2017;1;35;284.761580243342
comorb;2017;1;36;285.550832814351
comorb;2017;1;37;282.957304743312
comorb;2017;1;38;276.763495850495
comorb;2017;1;39;267.120622627108
comorb;2017;1;40;254.501325421032
comorb;2017;1;41;239.603964929171
comorb;2017;1;42;223.233541942499
comorb;2017;1;43;206.187041512167
comorb;2017;1;44;189.164565297863
comorb;2017;1;45;172.716371388174
comorb;2017;1;46;157.225030318811
comorb;2017;1;47;142.914724213574
comorb;2017;1;48;129.877103370754
comorb;2017;1;49;118.104021054287
comorb;2017;1;50;107.520149748283
comorb;2017;1;51;98.0114396744544
comorb;2017;1;52;89.4477446732308
comorb;2017;1;53;81.6994408086864
comorb;2017;1;54;74.6486059960731
comorb;2017;1;55;68.1955745930814
comorb;2017;1;56;62.2616895554917
comorb;2017;1;57;56.7890300478563
comorb;2017;1;58;51.7378799432404
comorb;2017;1;59;47.0827245112525
comorb;2017;1;60;42.8075725039362
comorb;2017;1;61;38.9013461154193
comorb;2017;1;62;35.3539364952706
comorb;2017;1;63;32.1533031622712
comorb;2017;1;64;29.2837494080981
comorb;2017;1;65;26.7252891883971
comorb;2017;1;66;24.4538760936124
comorb;2017;1;67;22.4422063768623
comorb;2017;1;68;20.660823833784
comorb;2017;1;69;19.0793166979302
comorb;2017;1;70;17.6674744331983
comorb;2017;1;71;16.3963403142384
comorb;2017;1;72;15.2391394279646
comorb;2017;1;73;14.1720773789716
comorb;2017;1;74;13.1749975063481
comorb;2017;1;75;12.2318648242493
comorb;2017;1;76;11.3310270110138
comorb;2017;1;77;10.4651994270233
comorb;2017;1;78;9.63114003278791
comorb;2017;1;79;8.82902045527394
comorb;2017;1;80;8.06155141474065
comorb;2017;1;81;7.33296826790266
comorb;2017;1;82;6.64800954549042
comorb;2017;1;83;6.01101866469648
comorb;2017;1;84;5.42526750090021
comorb;2017;1;85;4.89255078933651
comorb;2017;1;86;4.41304765857145
comorb;2017;1;87;3.98540474692342
comorb;2017;1;88;3.60697214184228
comorb;2017;1;89;3.27411950487601
comorb;2017;1;90;2.98257051471962
comorb;2017;1;91;2.72771219452157
comorb;2017;1;92;2.50485528850333
comorb;2017;1;93;2.3094381795956
comorb;2017;1;94;2.13717783668251
comorb;2017;1;95;1.98417678809942
comorb;2017;1;96;1.8469961346313
comorb;2017;1;97;1.72270265311829
comorb;2017;1;98;1.60889470900344
comorb;2017;1;99;1.50370845184521
comorb;2017;1;100;1.40580375155794
comorb;2017;2;0;1980.89731046905
comorb;2017;2;1;2376.6695029312
comorb;2017;2;2;2845.72488789716
comorb;2017;2;3;3390.06750103215
comorb;2017;2;4;4002.3854291207
comorb;2017;2;5;4662.83048113993
comorb;2017;2;6;5337.29888378189
comorb;2017;2;7;5978.6852409923
comorb;2017;2;8;6532.09876549567
comorb;2017;2;9;6943.75500132737
comorb;2017;2;10;7171.57816133238
comorb;2017;2;11;7194.3268786926
comorb;2017;2;12;7016.1347305358
comorb;2017;2;13;6664.91929471994
comorb;2017;2;14;6185.42442574991
comorb;2017;2;15;5629.51054432245
comorb;2017;2;16;5046.83052573998
comorb;2017;2;17;4478.21207482995
comorb;2017;2;18;3952.59868885573
comorb;2017;2;19;3487.09419344122
comorb;2017;2;20;2134.28316828693
comorb;2017;2;21;1793.50126237401
comorb;2017;2;22;1524.65594015974
comorb;2017;2;23;1314.80071281655
comorb;2017;2;24;1152.38161142046
comorb;2017;2;25;1027.56653719637
comorb;2017;2;26;932.223459629554
comorb;2017;2;27;859.712291839955
comorb;2017;2;28;804.606832854235
comorb;2017;2;29;762.420258681191
comorb;2017;2;30;729.376790907226
comorb;2017;2;31;702.251678366665
comorb;2017;2;32;678.28688488494
comorb;2017;2;33;655.176774867541
comorb;2017;2;34;631.105037575421
comorb;2017;2;35;604.802738774685
comorb;2017;2;36;575.591734525308
comorb;2017;2;37;543.381591920928
comorb;2017;2;38;508.60235890021
comorb;2017;2;39;472.075993892899
comorb;2017;2;40;434.848523792565
comorb;2017;2;41;398.015785598606
comorb;2017;2;42;362.57464095892
comorb;2017;2;43;329.320870652262
comorb;2017;2;44;298.800185344875
comorb;2017;2;45;271.305854150263
comorb;2017;2;46;246.908935991848
comorb;2017;2;47;225.505501484391
comorb;2017;2;48;206.867879719549
comorb;2017;2;49;190.69148346881
comorb;2017;2;50;176.633216343888
comorb;2017;2;51;164.340775870607
comorb;2017;2;52;153.474049632652
comorb;2017;2;53;143.720450125664
comorb;2017;2;54;134.8058379762
comorb;2017;2;55;126.502057830388
comorb;2017;2;56;118.631418067632
comorb;2017;2;57;111.067957913621
comorb;2017;2;58;103.735221019292
comorb;2017;2;59;96.6005105791473
comorb;2017;2;60;89.6661154430551
comorb;2017;2;61;82.9585532503052
comorb;2017;2;62;76.5172507463744
comorb;2017;2;63;70.3841306423631
comorb;2017;2;64;64.5952894290349
comorb;2017;2;65;59.1754433528833
comorb;2017;2;66;54.135260300549
comorb;2017;2;67;49.471236017906
comorb;2017;2;68;45.167497793196
comorb;2017;2;69;41.1988328398902
comorb;2017;2;70;37.5342920233527
comorb;2017;2;71;34.1408425788126
comorb;2017;2;72;30.9866772312662
comorb;2017;2;73;28.0438996992436
comorb;2017;2;74;25.2903940660715
comorb;2017;2;75;22.7107627672144
comorb;2017;2;76;20.2963041415474
comorb;2017;2;77;18.0441052625474
comorb;2017;2;78;15.955440935299
comorb;2017;2;79;14.0337703406767
comorb;2017;2;80;12.2826774785432
comorb;2017;2;81;10.7040879076389
comorb;2017;2;82;9.2970112130776
comorb;2017;2;83;8.05692886693307
comorb;2017;2;84;6.9758082793133
comorb;2017;2;85;6.04261297533289
comorb;2017;2;86;5.24411898486178
comorb;2017;2;87;4.56584199437626
comorb;2017;2;88;3.99291556662658
comorb;2017;2;89;3.51081715441863
comorb;2017;2;90;3.10589629546372
comorb;2017;2;91;2.76570542291676
comorb;2017;2;92;2.4791630180017
comorb;2017;2;93;2.23659214059113
comorb;2017;2;94;2.02967857285531
comorb;2017;2;95;1.85138646355902
comorb;2017;2;96;1.69585932991258
comorb;2017;2;97;1.55832330133539
comorb;2017;2;98;1.43499937619832
comorb;2017;2;99;1.32302344875558
comorb;2017;2;100;1.22036789460907
comorb;2018;1;0;1053.98213690797
comorb;2018;1;1;1303.21769820666
comorb;2018;1;2;1606.8162820138
comorb;2018;1;3;1967.11938166811
comorb;2018;1;4;2378.2115200658
comorb;2018;1;5;2822.45487695818
comorb;2018;1;6;3268.66494927535
comorb;2018;1;7;3673.81003186258
comorb;2018;1;8;3989.4205558828
comorb;2018;1;9;4171.99418886599
comorb;2018;1;10;4194.31442049169
comorb;2018;1;11;4053.28378942101
comorb;2018;1;12;3770.84823199499
comorb;2018;1;13;3387.60871486414
comorb;2018;1;14;2951.97871106645
comorb;2018;1;15;2509.26410433376
comorb;2018;1;16;2094.18402320758
comorb;2018;1;17;1728.10287593538
comorb;2018;1;18;1420.15690196631
comorb;2018;1;19;1170.47494355041
comorb;2018;1;20;647.070343666493
comorb;2018;1;21;536.096871148489
comorb;2018;1;22;453.030119166058
comorb;2018;1;23;391.844236062129
comorb;2018;1;24;347.649577939333
comorb;2018;1;25;316.637856902139
comorb;2018;1;26;295.906718392227
comorb;2018;1;27;283.248562131541
comorb;2018;1;28;276.945843351616
comorb;2018;1;29;275.590981206987
comorb;2018;1;30;277.938724778941
comorb;2018;1;31;282.796807175361
comorb;2018;1;32;288.961814702435
comorb;2018;1;33;295.206979791277
comorb;2018;1;34;300.323875072814
comorb;2018;1;35;303.209902664514
comorb;2018;1;36;302.980578282835
comorb;2018;1;37;299.075439443267
comorb;2018;1;38;291.324959792486
comorb;2018;1;39;279.955881534627
comorb;2018;1;40;265.530997357627
comorb;2018;1;41;248.839117160694
comorb;2018;1;42;230.763720376206
comorb;2018;1;43;212.16044684948
comorb;2018;1;44;193.765467852452
comorb;2018;1;45;176.144061623802
comorb;2018;1;46;159.677002837136
comorb;2018;1;47;144.575107845546
comorb;2018;1;48;130.910059584764
comorb;2018;1;49;118.651104909437
comorb;2018;1;50;107.700397824001
comorb;2018;1;51;97.9230499612351
comorb;2018;1;52;89.170473668496
comorb;2018;1;53;81.2971385185143
comorb;2018;1;54;74.1715695038613
comorb;2018;1;55;67.6825957959868
comorb;2018;1;56;61.7417978121099
comorb;2018;1;57;56.2829936136341
comorb;2018;1;58;51.2595448913869
comorb;2018;1;59;46.640252779637
comorb;2018;1;60;42.4046087387792
comorb;2018;1;61;38.5381110757271
comorb;2018;1;62;35.0282233385725
comorb;2018;1;63;31.8613462335414
comorb;2018;1;64;29.0209416842542
comorb;2018;1;65;26.4867390248716
comorb;2018;1;66;24.2348101248264
comorb;2018;1;67;22.2382383871293
comorb;2018;1;68;20.4681165929224
comorb;2018;1;69;18.8946649304773
comorb;2018;1;70;17.4883336025966
comorb;2018;1;71;16.2208197459329
comorb;2018;1;72;15.0659714346613
comorb;2018;1;73;14.0005680712385
comorb;2018;1;74;13.0049609435757
comorb;2018;1;75;12.0635406036258
comorb;2018;1;76;11.1649822438388
comorb;2018;1;77;10.3022186701038
comorb;2018;1;78;9.47211001172973
comorb;2018;1;79;8.67481902030348
comorb;2018;1;80;7.91295099971175
comorb;2018;1;81;7.19056267237712
comorb;2018;1;82;6.51216941483887
comorb;2018;1;83;5.88187656057717
comorb;2018;1;84;5.30272916877001
comorb;2018;1;85;4.77632618229852
comorb;2018;1;86;4.30269398407873
comorb;2018;1;87;3.88037418403469
comorb;2018;1;88;3.506658418606
comorb;2018;1;89;3.17789955483815
comorb;2018;1;90;2.88983935849908
comorb;2018;1;91;2.63791064387656
comorb;2018;1;92;2.41749090985633
comorb;2018;1;93;2.22410022866156
comorb;2018;1;94;2.05354674091351
comorb;2018;1;95;1.90202840782476
comorb;2018;1;96;1.76620067491311
comorb;2018;1;97;1.64321789379856
comorb;2018;1;98;1.53075328211836
comorb;2018;1;99;1.42699925605928
comorb;2018;1;100;1.33064818840436
comorb;2018;2;0;1750.62445117421
comorb;2018;2;1;2114.27011966023
comorb;2018;2;2;2548.26099224534
comorb;2018;2;3;3055.73126390931
comorb;2018;2;4;3631.40747116378
comorb;2018;2;5;4258.38140508028
comorb;2018;2;6;4906.14458037648
comorb;2018;2;7;5531.31282801388
comorb;2018;2;8;6082.09217316905
comorb;2018;2;9;6506.38852812192
comorb;2018;2;10;6761.86315019129
comorb;2018;2;11;6824.97474245163
comorb;2018;2;12;6695.96582635625
comorb;2018;2;13;6398.10353725576
comorb;2018;2;14;5971.65206856849
comorb;2018;2;15;5464.90020205321
comorb;2018;2;16;4925.21123406853
comorb;2018;2;17;4392.40921310292
comorb;2018;2;18;3895.46647504144
comorb;2018;2;19;3452.18881494552
comorb;2018;2;20;2270.19204451883
comorb;2018;2;21;1913.59819386318
comorb;2018;2;22;1631.17761226325
comorb;2018;2;23;1409.94034035453
comorb;2018;2;24;1238.13906172593
comorb;2018;2;25;1105.67356997934
comorb;2018;2;26;1004.11679989081
comorb;2018;2;27;926.533500923411
comorb;2018;2;28;867.215313767359
comorb;2018;2;29;821.412300867925
comorb;2018;2;30;785.108577409423
comorb;2018;2;31;754.867400901977
comorb;2018;2;32;727.754428291682
comorb;2018;2;33;701.332817472631
comorb;2018;2;34;673.709113056629
comorb;2018;2;35;643.596540932917
comorb;2018;2;36;610.356920764035
comorb;2018;2;37;573.987886019843
comorb;2018;2;38;535.038733164199
comorb;2018;2;39;494.461018627076
comorb;2018;2;40;453.420491962586
comorb;2018;2;41;413.107342158435
comorb;2018;2;42;374.579040644891
comorb;2018;2;43;338.657169824332
comorb;2018;2;44;305.883057468119
comorb;2018;2;45;276.523236543594
comorb;2018;2;46;250.608304636852
comorb;2018;2;47;227.987825457691
comorb;2018;2;48;208.387399529162
comorb;2018;2;49;191.459255340178
comorb;2018;2;50;176.822607076823
comorb;2018;2;51;164.09353150494
comorb;2018;2;52;152.906024520476
comorb;2018;2;53;142.926483880423
comorb;2018;2;54;133.863579187557
comorb;2018;2;55;125.4747587784
comorb;2018;2;56;117.569875090869
comorb;2018;2;57;110.011855662694
comorb;2018;2;58;102.714160114548
comorb;2018;2;59;95.6349635928309
comorb;2018;2;60;88.7684793757907
comorb;2018;2;61;82.1343698640006
comorb;2018;2;62;75.7665749977927
comorb;2018;2;63;69.7029634814567
comorb;2018;2;64;63.9769648406115
comorb;2018;2;65;58.6118682890111
comorb;2018;2;66;53.6179380925892
comorb;2018;2;67;48.9920436830606
comorb;2018;2;68;44.7192225815036
comorb;2018;2;69;40.7754963156513
comorb;2018;2;70;37.1312997550963
comorb;2018;2;71;33.754997100222
comorb;2018;2;72;30.6160861265327
comorb;2018;2;73;27.6878040789371
comorb;2018;2;74;24.9489384991535
comorb;2018;2;75;22.3847270688427
comorb;2018;2;76;19.9868194615565
comorb;2018;2;77;17.75237945898
comorb;2018;2;78;15.6825186295737
comorb;2018;2;79;13.7803494436433
comorb;2018;2;80;12.0489960467096
comorb;2018;2;81;10.4898844134566
comorb;2018;2;82;9.10155035312814
comorb;2018;2;83;7.87907662941639
comorb;2018;2;84;6.81413591100177
comorb;2018;2;85;5.89550998653043
comorb;2018;2;86;5.10989932856828
comorb;2018;2;87;4.44283328118444
comorb;2018;2;88;3.87952690177231
comorb;2018;2;89;3.40558572129742
comorb;2018;2;90;3.00751566238064
comorb;2018;2;91;2.67303977837842
comorb;2018;2;92;2.39125152142937
comorb;2018;2;93;2.15264677753927
comorb;2018;2;94;1.94907774639584
comorb;2018;2;95;1.77366535833027
comorb;2018;2;96;1.62069708255849
comorb;2018;2;97;1.48552636165126
comorb;2018;2;98;1.36448024888119
comorb;2018;2;99;1.254774294006
comorb;2018;2;100;1.15442916023337
comorb;2019;1;0;924.935437673032
comorb;2019;1;1;1145.38695802591
comorb;2019;1;2;1414.35550125839
comorb;2019;1;3;1734.12409785245
comorb;2019;1;4;2099.69894561075
comorb;2019;1;5;2495.69009217246
comorb;2019;1;6;2894.61727140112
comorb;2019;1;7;3258.32600473585
comorb;2019;1;8;3543.60051087827
comorb;2019;1;9;3711.38258095642
comorb;2019;1;10;3736.88824066497
comorb;2019;1;11;3616.70622380144
comorb;2019;1;12;3369.78638166304
comorb;2019;1;13;3031.89149403496
comorb;2019;1;14;2646.00542355917
comorb;2019;1;15;2252.58391474104
comorb;2019;1;16;1882.81019967527
comorb;2019;1;17;1556.031516179
comorb;2019;1;18;1280.68469841002
comorb;2019;1;19;1057.12199406386
comorb;2019;1;20;739.430624767259
comorb;2019;1;21;605.223096463108
comorb;2019;1;22;505.313980189004
comorb;2019;1;23;431.913346912904
comorb;2019;1;24;378.809998476968
comorb;2019;1;25;341.229514336165
comorb;2019;1;26;315.573142110005
comorb;2019;1;27;299.133642708921
comorb;2019;1;28;289.833516337796
comorb;2019;1;29;286.00292243105
comorb;2019;1;30;286.202937146401
comorb;2019;1;31;289.097671988526
comorb;2019;1;32;293.380119715318
comorb;2019;1;33;297.756377801868
comorb;2019;1;34;300.987707253761
comorb;2019;1;35;301.979094322451
comorb;2019;1;36;299.889760152853
comorb;2019;1;37;294.231662027624
comorb;2019;1;38;284.922702729869
comorb;2019;1;39;272.274233873515
comorb;2019;1;40;256.913279759489
comorb;2019;1;41;239.659990137781
comorb;2019;1;42;221.391886433511
comorb;2019;1;43;202.925250250146
comorb;2019;1;44;184.933321312613
comorb;2019;1;45;167.907042081889
comorb;2019;1;46;152.152681037264
comorb;2019;1;47;137.814662055069
comorb;2019;1;48;124.911141550905
comorb;2019;1;49;113.372387848637
comorb;2019;1;50;103.075670619382
comorb;2019;1;51;93.8736582347655
comorb;2019;1;52;85.6155915391109
comorb;2019;1;53;78.1617297259607
comorb;2019;1;54;71.3920370335822
comorb;2019;1;55;65.2101501482162
comorb;2019;1;56;59.5436099386652
comorb;2019;1;57;54.3413032821555
comorb;2019;1;58;49.5690676658548
comorb;2019;1;59;45.2044141974532
comorb;2019;1;60;41.2312572862888
comorb;2019;1;61;37.6353660221521
comorb;2019;1;62;34.4009897766671
comorb;2019;1;63;31.508817275758
comorb;2019;1;64;28.9351743238678
comorb;2019;1;65;26.6522009559973
comorb;2019;1;66;24.6286888048724
comorb;2019;1;67;22.831285383409
comorb;2019;1;68;21.2258465160271
comorb;2019;1;69;19.7788019354443
comorb;2019;1;70;18.4584625884662
comorb;2019;1;71;17.2362271798924
comorb;2019;1;72;16.0876410660051
comorb;2019;1;73;14.9932363808223
comorb;2019;1;74;13.9390591119164
comorb;2019;1;75;12.9167877641143
comorb;2019;1;76;11.9233823265427
comorb;2019;1;77;10.9602701272461
comorb;2019;1;78;10.0321597059751
comorb;2019;1;79;9.14564804649157
comorb;2019;1;80;8.3078247436855
comorb;2019;1;81;7.52506596871454
comorb;2019;1;82;6.8021564825172
comorb;2019;1;83;6.1417992236954
comorb;2019;1;84;5.54449417609848
comorb;2019;1;85;5.00871131132453
comorb;2019;1;86;4.53125539759046
comorb;2019;1;87;4.10772124415946
comorb;2019;1;88;3.73295737424108
comorb;2019;1;89;3.40148327902986
comorb;2019;1;90;3.10783151651042
comorb;2019;1;91;2.84680597521954
comorb;2019;1;92;2.6136601927319
comorb;2019;1;93;2.40420568428353
comorb;2019;1;94;2.21486188870562
comorb;2019;1;95;2.04265875450507
comorb;2019;1;96;1.8852018273326
comorb;2019;1;97;1.74060886502139
comorb;2019;1;98;1.60742668785752
comorb;2019;1;99;1.48453686962784
comorb;2019;1;100;1.37105850627088
comorb;2019;2;0;1560.01004835836
comorb;2019;2;1;1886.91342123396
comorb;2019;2;2;2277.67892549346
comorb;2019;2;3;2735.40004975068
comorb;2019;2;4;3255.65046217609
comorb;2019;2;5;3823.52946313869
comorb;2019;2;6;4411.81529988221
comorb;2019;2;7;4981.52480113359
comorb;2019;2;8;5485.85303867825
comorb;2019;2;9;5877.4407645103
comorb;2019;2;10;6117.46847558848
comorb;2019;2;11;6183.91493976974
comorb;2019;2;12;6076.21010959201
comorb;2019;2;13;5814.70804667135
comorb;2019;2;14;5435.35909906395
comorb;2019;2;15;4981.64845561446
comorb;2019;2;16;4496.48137372381
comorb;2019;2;17;4016.13059755587
comorb;2019;2;18;3567.15187199743
comorb;2019;2;19;3166.02081365866
comorb;2019;2;20;2592.66557192103
comorb;2019;2;21;2159.04124291811
comorb;2019;2;22;1818.333143403
comorb;2019;2;23;1553.1802658025
