year;sex;age;rate
2085;1;36;0.0107667085107151
2085;1;37;0.0104120172273839
2085;1;38;0.0100706587638138
2085;1;39;0.00959596448753361
2085;1;40;0.00923793514422186
2085;1;41;0.0087610764340003
2085;1;42;0.0084313992322218
2085;1;43;0.00802012834895512
2085;1;44;0.00774702966189178
2085;1;45;0.00743438553470261
2085;1;46;0.00715093033194659
2085;1;47;0.00677513149529869
2085;1;48;0.00650501213128383
2085;1;49;0.00627182904759285
2085;1;50;0.00604284903800588
2085;1;51;0.00573357724647063
2085;1;52;0.00547200102466395
2085;1;53;0.00534137099324922
2085;1;54;0.00525188984926482
2085;1;55;0.00514091138711898
2085;1;56;0.00489693476987691
2085;1;57;0.0046427456168262
2085;1;58;0.0043880569229815
2085;1;59;0.00418566691581227
2085;1;60;0.00403312524881058
2085;1;61;0.00391959851774233
2085;1;62;0.00388981469745158
2085;1;63;0.00372719322850314
2085;1;64;0.00375112496182123
2085;1;65;0.0037270477834062
2085;1;66;0.003650474637285
2085;1;67;0.00316077285631932
2085;1;68;0.00286989958197253
2085;1;69;0.00264057651620616
2085;1;70;0.00203431173534406
2085;1;71;0.00205159323939326
2085;1;72;0.00206525657412221
2085;1;73;0.00206903182239436
2085;1;74;0.00208002362629907
2085;1;75;0.00203169750933657
2085;1;76;0.00205387523127439
2085;1;77;0.00207265507108666
2085;1;78;0.00208746230327117
2085;1;79;0.00208855011033831
2085;1;80;0.00152681390126981
2085;1;81;0.00151730048509108
2085;1;82;0.00152485368719311
2085;1;83;0.00156676824949864
2085;1;84;0.0016147942890505
2085;1;85;0.00166150374564049
2085;1;86;0.00178744395390471
2085;1;87;0.00167900400004305
2085;1;88;0.00160927987103115
2085;1;89;0.00155279242238868
2085;1;90;0.00114730017353829
2085;1;91;0.00110148545891479
2085;1;92;0.00106952370443605
2085;1;93;0.00104978687687639
2085;1;94;0.00106072908590491
2085;1;95;0.00108062630890307
2085;1;96;0.00113303246487235
2085;1;97;0.00117670875220879
2085;1;98;0.00124273155134374
2085;1;99;0.00129057523768223
2085;1;100;0.00220092815610111
2085;2;0;0.00239495375114749
2085;2;1;0.00631189840887994
2085;2;2;0.00696869707234408
2085;2;3;0.00782229455808897
2085;2;4;0.00822793483549622
2085;2;5;0.00871197755520028
2085;2;6;0.00868507148651315
2085;2;7;0.00835450090695014
2085;2;8;0.00737427254011962
2085;2;9;0.0065992618504764
2085;2;10;0.00589895371209253
2085;2;11;0.00541762553355058
2085;2;12;0.00492736601150468
2085;2;13;0.00448059196025754
2085;2;14;0.00395701166885867
2085;2;15;0.00350576649875931
2085;2;16;0.00301569928454334
2085;2;17;0.00243851572716333
2085;2;18;0.00232283513610889
2085;2;19;0.00458295514072302
2085;2;20;0.00636338409012475
2085;2;21;0.00762532077968892
2085;2;22;0.00871642937840923
2085;2;23;0.0105261449207807
2085;2;24;0.0119324070641076
2085;2;25;0.0132791442176744
2085;2;26;0.0142301531024173
2085;2;27;0.0143716865351972
2085;2;28;0.0141284900875817
2085;2;29;0.0137674250417853
2085;2;30;0.0133572701108699
2085;2;31;0.0127759935490269
2085;2;32;0.01222814847656
2085;2;33;0.0115084528978973
2085;2;34;0.0109652728257482
2085;2;35;0.0103475478035557
2085;2;36;0.00985603901596234
2085;2;37;0.00933584610183977
2085;2;38;0.00879462104906076
2085;2;39;0.00829442794049858
2085;2;40;0.00786611101138385
2085;2;41;0.00739781636333198
2085;2;42;0.00695761694165584
2085;2;43;0.00650195911333975
2085;2;44;0.00613995691733456
2085;2;45;0.0057089876751328
2085;2;46;0.00537287502231227
2085;2;47;0.00506262448860203
2085;2;48;0.00486110702734881
2085;2;49;0.00461379801547524
2085;2;50;0.00441718182144948
2085;2;51;0.0042018523569003
2085;2;52;0.00400822072082398
2085;2;53;0.00392886224895979
2085;2;54;0.00381038870682471
2085;2;55;0.00376744559310496
2085;2;56;0.00362248023449108
2085;2;57;0.00347019748036377
2085;2;58;0.00327534750280842
2085;2;59;0.00316858168118055
2085;2;60;0.00305751612033541
2085;2;61;0.00297019407332173
2085;2;62;0.00291419365844848
2085;2;63;0.00280653782689559
2085;2;64;0.00285010567034069
2085;2;65;0.00296895497166835
2085;2;66;0.00294580068375773
2085;2;67;0.002616681401296
2085;2;68;0.00236105710225911
2085;2;69;0.00221987867352791
