year;sex;age;pop;immig;emig;born;dead
2001;1;32;60721;824;424;3325;44
2001;1;33;63617;768;474;3129;45
2001;1;34;67914;737;477;2879;65
2001;1;35;69044;693;469;2528;59
2001;1;36;69319;657;462;2038;60
2001;1;37;69192;608;400;1687;71
2001;1;38;64703;564;360;1116;70
2001;1;39;61595;511;372;837;81
2001;1;40;59677;485;362;596;89
2001;1;41;58618;480;272;401;70
2001;1;42;59555;389;283;271;84
2001;1;43;59294;325;260;163;96
2001;1;44;59661;364;248;69;115
2001;1;45;60596;319;269;43;120
2001;1;46;59275;290;196;19;120
2001;1;47;58151;288;218;7;153
2001;1;48;59769;258;179;1;178
2001;1;49;59190;232;175;4;187
2001;1;50;58588;210;167;0;162
2001;1;51;61375;218;163;0;216
2001;1;52;63243;197;165;0;207
2001;1;53;65259;206;164;0;276
2001;1;54;66010;206;154;0;338
2001;1;55;66917;186;158;0;306
2001;1;56;66522;165;121;0;375
2001;1;57;65478;164;117;0;418
2001;1;58;60878;140;120;0;426
2001;1;59;55819;145;96;0;420
2001;1;60;48910;111;100;0;389
2001;1;61;46398;117;88;0;424
2001;1;62;46164;115;75;0;461
2001;1;63;43766;89;86;0;472
2001;1;64;41301;86;62;0;530
2001;1;65;39450;92;92;0;581
2001;1;66;37643;64;81;0;562
2001;1;67;35650;60;43;0;619
2001;1;68;34550;63;48;0;665
2001;1;69;35151;61;40;0;763
2001;1;70;34283;33;28;0;762
2001;1;71;33931;37;35;0;883
2001;1;72;32268;32;22;0;976
2001;1;73;32267;27;31;0;1015
2001;1;74;30604;23;20;0;1110
2001;1;75;30201;29;23;0;1253
2001;1;76;29709;23;16;0;1346
2001;1;77;28390;19;9;0;1452
2001;1;78;27797;13;11;0;1518
2001;1;79;25751;15;13;0;1599
2001;1;80;25524;18;6;0;1945
2001;1;81;24893;13;11;0;1995
2001;1;82;18730;10;6;0;1751
2001;1;83;16468;8;3;0;1658
2001;1;84;14783;4;4;0;1812
