age;man;woman;NCD
52;81301.0242574979;67012.42190479412;cancer
53;81301.0242574979;67012.42190479412;cancer
54;81301.0242574979;67012.42190479412;cancer
55;71952.69693891142;64839.003173570425;cancer
56;71952.69693891142;64839.003173570425;cancer
57;71952.69693891142;64839.003173570425;cancer
58;71952.69693891142;64839.003173570425;cancer
59;71952.69693891142;64839.003173570425;cancer
60;67666.95424095153;67556.98017312885;cancer
61;67666.95424095153;67556.98017312885;cancer
62;67666.95424095153;67556.98017312885;cancer
63;67666.95424095153;67556.98017312885;cancer
64;67666.95424095153;67556.98017312885;cancer
65;60726.38879031191;72059.56439483457;cancer
66;60726.38879031191;72059.56439483457;cancer
67;60726.38879031191;72059.56439483457;cancer
68;60726.38879031191;72059.56439483457;cancer
69;60726.38879031191;72059.56439483457;cancer
70;54199.52780902738;63999.26439154195;cancer
71;54199.52780902738;63999.26439154195;cancer
72;54199.52780902738;63999.26439154195;cancer
73;54199.52780902738;63999.26439154195;cancer
74;54199.52780902738;63999.26439154195;cancer
75;46500.80577591055;62648.72635224382;cancer
76;46500.80577591055;62648.72635224382;cancer
77;46500.80577591055;62648.72635224382;cancer
78;46500.80577591055;62648.72635224382;cancer
79;46500.80577591055;62648.72635224382;cancer
80;43103.72230762418;55060.77104502921;cancer
81;43103.72230762418;55060.77104502921;cancer
82;43103.72230762418;55060.77104502921;cancer
83;43103.72230762418;55060.77104502921;cancer
84;43103.72230762418;55060.77104502921;cancer
85;32406.44059342548;42119.58560045459;cancer
86;32406.44059342548;42119.58560045459;cancer
87;32406.44059342548;42119.58560045459;cancer
88;32406.44059342548;42119.58560045459;cancer
89;32406.44059342548;42119.58560045459;cancer
90;32406.44059342548;42119.58560045459;cancer
91;32406.44059342548;42119.58560045459;cancer
92;32406.44059342548;42119.58560045459;cancer
93;32406.44059342548;42119.58560045459;cancer
94;32406.44059342548;42119.58560045459;cancer
95;32406.44059342548;42119.58560045459;cancer
96;32406.44059342548;42119.58560045459;cancer
97;32406.44059342548;42119.58560045459;cancer
98;32406.44059342548;42119.58560045459;cancer
99;32406.44059342548;42119.58560045459;cancer
100;32406.44059342548;42119.58560045459;cancer
0;182295.08074758263;82205.59736842106;cvd
1;182295.08074758263;82205.59736842106;cvd
2;182295.08074758263;82205.59736842106;cvd
3;182295.08074758263;82205.59736842106;cvd
4;182295.08074758263;82205.59736842106;cvd
5;65965.831176117;456244.8470319634;cvd
6;65965.831176117;456244.8470319634;cvd
7;65965.831176117;456244.8470319634;cvd
8;65965.831176117;456244.8470319634;cvd
9;65965.831176117;456244.8470319634;cvd
10;212936.35246861711;77590.71794871794;cvd
11;212936.35246861711;77590.71794871794;cvd
12;212936.35246861711;77590.71794871794;cvd
